,CHIEF,DISEASE,ATTRIBUTE_TH,ATTRIBUTE_EN,HAVE_SYMPTOM,SCORE,ALARM
62,headache,brain_tumour,มะเร็ง,cancer,1,5,
63,headache,tension_headache,ไม่_บ้านหมุน ทรงตัวไม่ได้,vertigo,0,3,
64,headache,tension_headache,ไม่_ไข้,fever,0,5,
65,headache,tension_headache,ไม่_ตื่นปวดกลางคืน,night_pain,0,5,
66,headache,tension_headache,คอแข็ง,stiff_neck,1,4,
67,headache,tension_headache,ค่อยๆปวดมากขึ้นใน1ชั่วโมง,gradually_pain_in_1_hour,1,5,
68,headache,tension_headache,ปวดนาน 4-72 ชั่วโมง,pain_for_4_72_hours,1,2,
69,headache,tension_headache,ปวดนาน 30 นาที - 1 สัปดาห์,pain_for_30_minutes_1_week,1,5,
70,headache,tension_headache,ปวดนาน 15 นาที - 3 ชั่วโมง,pain_for_15_minutes_3_hours,1,2,
71,headache,tension_headache,ไม่ตรงกับข้อใด,does_not_match_any,1,1,
72,headache,tension_headache,ไม่_ปวดครั้งใหม่,new_pain,0,1,
73,headache,tension_headache,ปวดทุก 1-2 ครั้งต่อสัปดาห์,pain_every_1_2_times_a_week,1,5,
74,headache,tension_headache,ปวดมากตอนบ่ายๆ,very_pain_in_the_afternoon,1,3,
75,headache,tension_headache,ปวดช่วงวันหยุดสุดสัปดาห์,pain_during_the_weekend,1,-0.5,
76,headache,tension_headache,ปวดเหมือนอะไรรัดหัว,pain_like_headbanding,1,5,
77,headache,tension_headache,ปวดข้างเดิมตลอด,pain_at_the_same_side,1,4,
78,headache,tension_headache,ปวดสองข้าง,pain_at_both_sides,1,4,
79,headache,tension_headache,ปวดร้าวหน้าผาก,pain_at_forehead,1,4,
80,headache,tension_headache,ปวดขมับ,pain_at_temples,1,4,
81,headache,migraine,ไม่_ไข้,fever,0,1,
82,headache,migraine,เห็นภาพซ้อน,diplopia,1,1,
83,headache,migraine,แขนขาอ่อนแรงครึ่งซีก,hemiparesis,1,2,
137,cough_acute_lesser_3_weeks,uri,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
138,cough_acute_lesser_3_weeks,uri,เสมหะเหนียว,thick_sputum,1,4,
139,cough_acute_lesser_3_weeks,uri,เจ็บคอ,sore_throat,1,3,
140,cough_acute_lesser_3_weeks,uri,ไม่_ปวดเมื่อยตามตัว,muscle_pain,0,1,
141,cough_acute_lesser_3_weeks,uri,นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,1,-5,
142,cough_acute_lesser_3_weeks,flu,ไข้,fever,1,5,
143,cough_acute_lesser_3_weeks,flu,ไม่_เหนื่อย,fatigue,0,1,
144,cough_acute_lesser_3_weeks,flu,เสมหะเหนียว,thick_sputum,1,4,
145,cough_acute_lesser_3_weeks,flu,เจ็บคอ,sore_throat,1,2,
146,cough_acute_lesser_3_weeks,flu,ปวดเมื่อยตามตัว,muscle_pain,1,2,
147,cough_acute_lesser_3_weeks,flu,นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,1,-5,
148,cough_acute_lesser_3_weeks,postnasal_drip,ไม่_ไข้,fever,0,5,
149,cough_acute_lesser_3_weeks,postnasal_drip,ไม่_เหนื่อย,fatigue,0,5,
150,cough_acute_lesser_3_weeks,postnasal_drip,เสมหะเหนียว,thick_sputum,1,2,
151,cough_acute_lesser_3_weeks,postnasal_drip,ไม่_เจ็บคอ,sore_throat,0,2,
152,cough_acute_lesser_3_weeks,postnasal_drip,น้ำไหลลงคอ,water_dripping_into_thorat,1,5,
153,cough_acute_lesser_3_weeks,postnasal_drip,ไม่_ปวดเมื่อยตามตัว,muscle_pain,0,3,
154,cough_acute_lesser_3_weeks,postnasal_drip,ไม่_นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,0,5,
155,cough_acute_lesser_3_weeks,asthmatic_attack,เหนื่อย,fatigue,1,5,alarm
156,cough_acute_lesser_3_weeks,asthmatic_attack,เสมหะเหนียว,thick_sputum,1,3,
157,cough_acute_lesser_3_weeks,asthmatic_attack,หายใจเสียงวี้ด,wheezing,1,5,
158,cough_acute_lesser_3_weeks,asthmatic_attack,ไม่_เจ็บหน้าอก,chest_pain,0,1,
159,cough_acute_lesser_3_weeks,asthmatic_attack,ตื่นหอบเหนื่อยกลางคืน,night_dyspnea,1,4,
160,cough_acute_lesser_3_weeks,asthmatic_attack,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,4,
161,cough_acute_lesser_3_weeks,asthmatic_attack,ไม่_นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,0,2,
162,cough_acute_lesser_3_weeks,asthmatic_attack,อากาศเย็นแล้วไอมากขึ้น,progressive_cough_in_cold_air,1,3,
163,cough_acute_lesser_3_weeks,asthmatic_attack,หอบหืด,asthma,1,5,
164,cough_acute_lesser_3_weeks,asthmatic_attack,ไม่_ถุงลมโป่งพอง,copd,0,3,
165,cough_acute_lesser_3_weeks,copd_with_ae,เหนื่อย,fatigue,1,5,alarm
166,cough_acute_lesser_3_weeks,copd_with_ae,เสมหะเหนียว,thick_sputum,1,3,
167,cough_acute_lesser_3_weeks,copd_with_ae,หายใจเสียงวี้ด,wheezing,1,5,
168,cough_acute_lesser_3_weeks,copd_with_ae,เจ็บหน้าอก,chest_pain,1,2,
169,cough_acute_lesser_3_weeks,copd_with_ae,ตื่นหอบเหนื่อยกลางคืน,night_dyspnea,1,4,
170,dizziness,anemia,อายุ46-60,age_46_60,1,1,
171,cough_acute_lesser_3_weeks,copd_with_ae,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,5,
172,cough_acute_lesser_3_weeks,copd_with_ae,ไม่_นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,0,2,
173,cough_acute_lesser_3_weeks,copd_with_ae,อากาศเย็นแล้วไอมากขึ้น,progressive_cough_in_cold_air,1,3,
174,cough_acute_lesser_3_weeks,copd_with_ae,สูบบุหรี่ บุหรี่ไฟฟ้า หรือสูดดมสารเคมีประจำ,smoking,1,4,
175,cough_acute_lesser_3_weeks,copd_with_ae,ไม่_หอบหืด,asthma,0,3,
176,cough_acute_lesser_3_weeks,copd_with_ae,ถุงลมโป่งพอง,copd,1,5,
177,cough_acute_lesser_3_weeks,bronchitis,ไข้,fever,1,4,
178,cough_acute_lesser_3_weeks,bronchitis,ไม่_ไอเป็นเลือด,hemoptysis,0,1,
179,cough_acute_lesser_3_weeks,bronchitis,เสมหะเหนียว,thick_sputum,1,5,
180,cough_acute_lesser_3_weeks,bronchitis,หายใจเสียงวี้ด,wheezing,1,3,
181,cough_acute_lesser_3_weeks,bronchitis,ไม่_ปวดเมื่อยตามตัว,muscle_pain,0,1,
182,cough_acute_lesser_3_weeks,bronchitis,เจ็บหน้าอก,chest_pain,1,2,
183,cough_acute_lesser_3_weeks,bronchitis,นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,1,-5,
184,cough_acute_lesser_3_weeks,sinusitis,ไข้,fever,1,3,
185,cough_acute_lesser_3_weeks,sinusitis,เบาหวาน,diabetes,1,2,
186,cough_acute_lesser_3_weeks,sinusitis,HIV,hiv,1,2,
187,cough_acute_lesser_3_weeks,sinusitis,สเตียรอยด์,steroids,1,2,
188,cough_acute_lesser_3_weeks,sinusitis,ยากดภูมิคุ้มกัน,immunosuppressive_drugs,1,2,
189,cough_acute_lesser_3_weeks,sinusitis,เสมหะเหนียว,thick_sputum,1,4,
190,cough_acute_lesser_3_weeks,sinusitis,ปวดบริเวณใบหน้า,pain_at_face,1,5,
191,cough_acute_lesser_3_weeks,sinusitis,นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,1,-5,
192,cough_acute_lesser_3_weeks,pneumonia,ไข้,fever,1,5,alarm
193,cough_acute_lesser_3_weeks,pneumonia,เหนื่อย,fatigue,1,4,alarm
194,cough_acute_lesser_3_weeks,pneumonia,เบาหวาน,diabetes,1,4,alarm
195,cough_acute_lesser_3_weeks,pneumonia,HIV,hiv,1,4,alarm
196,cough_acute_lesser_3_weeks,pneumonia,สเตียรอยด์,steroids,1,3,alarm
197,cough_acute_lesser_3_weeks,pneumonia,ยากดภูมิคุ้มกัน,immunosuppressive_drugs,1,3,alarm
198,cough_acute_lesser_3_weeks,pneumonia,เสมหะเหนียว,thick_sputum,1,4,
199,cough_acute_lesser_3_weeks,pneumonia,ไม่_เสมหะเป็นฟอง,frothy_sputum,0,1,
200,cough_acute_lesser_3_weeks,pneumonia,นอนหมอนสูง นอนราบแล้วเหนื่อย,orthopnea,1,-3,
201,cough_acute_lesser_3_weeks,gerd,แสบร้อนยอดอก,burning_the_top_of_the_chest,1,5,
218,cough_acute_lesser_3_weeks,chf,ลิ้นหัวใจรั่ว,vulvular_heart_disease,1,3,
219,cough_acute_lesser_3_weeks,chf,ไตวายเรื้อรัง,chronic_kidney_disease,1,5,
220,cough_acute_lesser_3_weeks,inhale_noxae,ไข้,fever,1,3,alarm
221,cough_acute_lesser_3_weeks,inhale_noxae,เสมหะเหนียว,thick_sputum,1,3,
222,cough_acute_lesser_3_weeks,inhale_noxae,เจ็บคอ,sore_throat,1,4,
223,cough_acute_lesser_3_weeks,inhale_noxae,น้ำไหลลงคอ,water_dripping_into_thorat,1,4,
224,cough_acute_lesser_3_weeks,inhale_noxae,ปวดบริเวณใบหน้า,pain_at_face,1,3,
225,diarrhea_chronic_greater_3_weeks,diabetes,ท้องอืด,flatulence,1,3,
226,cough_acute_lesser_3_weeks,inhale_noxae,ไม่_แสบร้อนยอดอก,burning_the_top_of_the_chest,0,2,
227,cough_acute_lesser_3_weeks,inhale_noxae,ไม่_ขาบวม,swollen_legs,0,4,
228,cough_acute_lesser_3_weeks,inhale_noxae,ไม่_ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,0,3,
229,cough_acute_lesser_3_weeks,inhale_noxae,สูบบุหรี่ บุหรี่ไฟฟ้า หรือสูดดมสารเคมีประจำ,smoking,1,5,
230,cough_chronic_greater_3_weeks,allergy,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
231,cough_chronic_greater_3_weeks,allergy,ไม่_น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,0,2,
232,cough_chronic_greater_3_weeks,allergy,ไม่_เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,0,3,
233,cough_chronic_greater_3_weeks,allergy,เสมหะ,sputum,1,5,
234,cough_chronic_greater_3_weeks,allergy,ไอแห้ง,dry_cough,1,3,
235,cough_chronic_greater_3_weeks,allergy,เสียงแหบ,hoarse,1,3,
236,cough_chronic_greater_3_weeks,allergy,เพิ่งหายจากหวัด,just_recovered_from_a_cold,1,2,
237,cough_chronic_greater_3_weeks,allergy,อากาศเย็นแล้วไอมากขึ้น,progressive_cough_in_cold_air,1,4,
238,cough_chronic_greater_3_weeks,allergy,น้ำมูกไหล,runny_nose,1,4,
239,cough_chronic_greater_3_weeks,allergy,สูบบุหรี่,smoking,1,4,
240,cough_chronic_greater_3_weeks,allergy,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
241,cough_chronic_greater_3_weeks,allergy,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,2,
242,cough_chronic_greater_3_weeks,laryngeal_polyp,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
243,cough_chronic_greater_3_weeks,laryngeal_polyp,ไม่_น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,0,2,
244,cough_chronic_greater_3_weeks,laryngeal_polyp,ไม่_เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,0,3,
245,cough_chronic_greater_3_weeks,laryngeal_polyp,ไอแห้ง,dry_cough,1,5,
246,cough_chronic_greater_3_weeks,laryngeal_polyp,ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,1,-2,
247,cough_chronic_greater_3_weeks,laryngeal_polyp,ไข้กลางคืน,night_fever,1,-1,
248,cough_chronic_greater_3_weeks,laryngeal_polyp,เสียงแหบ,hoarse,1,5,
249,cough_chronic_greater_3_weeks,laryngeal_polyp,ไม่_แสบร้อนยอดอก,burning_the_top_of_the_chest,0,1,
250,cough_chronic_greater_3_weeks,laryngeal_polyp,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
251,cough_chronic_greater_3_weeks,laryngeal_polyp,ไม่_ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,0,3,
252,cough_chronic_greater_3_weeks,acei_induced_cough,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
253,cough_chronic_greater_3_weeks,acei_induced_cough,ไม่_น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,0,2,
254,cough_chronic_greater_3_weeks,acei_induced_cough,ไม่_เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,0,3,
255,cough_chronic_greater_3_weeks,acei_induced_cough,ไอแห้ง,dry_cough,1,5,
256,cough_chronic_greater_3_weeks,acei_induced_cough,ไม่_เสียงแหบ,hoarse,0,2,
257,cough_chronic_greater_3_weeks,acei_induced_cough,ไม่_อากาศเย็นแล้วไอมากขึ้น,progressive_cough_in_cold_air,0,2,
258,cough_chronic_greater_3_weeks,acei_induced_cough,"กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,1,5,
259,cough_chronic_greater_3_weeks,tb,ไอเป็นเลือด,hemoptysis,1,4,alarm
260,cough_chronic_greater_3_weeks,tb,น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,1,5,alarm
261,cough_chronic_greater_3_weeks,tb,เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,1,1,alarm
262,cough_chronic_greater_3_weeks,tb,HIV,hiv,1,3,alarm
263,cough_chronic_greater_3_weeks,tb,สเตียรอยด์,steroids,1,3,alarm
264,cough_chronic_greater_3_weeks,tb,ยากดภูมิคุ้มกัน,immunosuppressive_drugs,1,3,alarm
265,cough_chronic_greater_3_weeks,tb,ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,1,4,
266,cough_chronic_greater_3_weeks,tb,ไข้กลางคืน,night_fever,1,5,
267,cough_chronic_greater_3_weeks,tb,อ่อนเพลีย,fatigue,1,4,
268,cough_chronic_greater_3_weeks,tb,ประวัติสัมผัสผู้ป่วยวัณโรค,contact_tb,1,5,
269,cough_chronic_greater_3_weeks,tb,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
270,cough_chronic_greater_3_weeks,tb,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,2,
271,cough_chronic_greater_3_weeks,lung_abscess,ไอเป็นเลือด,hemoptysis,1,1,alarm
272,cough_chronic_greater_3_weeks,lung_abscess,น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,1,2,alarm
273,cough_chronic_greater_3_weeks,lung_abscess,เบาหวาน,diabetes,1,2,alarm
274,cough_chronic_greater_3_weeks,lung_abscess,สเตียรอยด์,steroids,1,2,alarm
275,cough_chronic_greater_3_weeks,lung_abscess,ยากดภูมิคุ้มกัน,immunosuppressive_drugs,1,2,alarm
276,cough_chronic_greater_3_weeks,lung_abscess,ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,1,4,
277,cough_chronic_greater_3_weeks,lung_abscess,ไม่_ไข้กลางคืน,night_fever,0,3,
278,cough_chronic_greater_3_weeks,lung_abscess,อ่อนเพลีย,fatigue,1,5,
279,cough_chronic_greater_3_weeks,lung_abscess,ไม่_เสียงแหบ,hoarse,0,3,
280,cough_chronic_greater_3_weeks,lung_abscess,มีกลิ่นปาก เสมหะเหม็น,bad_breath,1,3,
281,cough_chronic_greater_3_weeks,lung_abscess,หายใจแล้วเจ็บ,painful_respiration,1,4,
282,cough_chronic_greater_3_weeks,lung_abscess,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
283,cough_chronic_greater_3_weeks,bronchiectasis,ไอเป็นเลือด,hemoptysis,1,3,alarm
284,cough_chronic_greater_3_weeks,bronchiectasis,น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,1,3,alarm
285,cough_chronic_greater_3_weeks,bronchiectasis,เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,1,5,alarm
286,cough_chronic_greater_3_weeks,bronchiectasis,เสมหะ,sputum,1,5,
287,cough_chronic_greater_3_weeks,bronchiectasis,ไม่_ไอแห้ง,dry_cough,0,3,
288,cough_chronic_greater_3_weeks,bronchiectasis,ไม่_ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,0,3,
289,cough_chronic_greater_3_weeks,bronchiectasis,อ่อนเพลีย,fatigue,1,4,
290,cough_chronic_greater_3_weeks,bronchiectasis,ไม่_แสบร้อนยอดอก,burning_the_top_of_the_chest,0,2,
291,cough_chronic_greater_3_weeks,bronchiectasis,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
292,cough_chronic_greater_3_weeks,bronchiectasis,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,3,
293,cough_chronic_greater_3_weeks,ild,ไอเป็นเลือด,hemoptysis,1,2,alarm
294,cough_chronic_greater_3_weeks,ild,น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,1,3,alarm
295,cough_chronic_greater_3_weeks,ild,เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,1,5,alarm
296,cough_chronic_greater_3_weeks,ild,ไอแห้ง,dry_cough,1,4,
297,cough_chronic_greater_3_weeks,ild,อ่อนเพลีย,fatigue,1,4,
298,cough_chronic_greater_3_weeks,ild,ไม่_มีกลิ่นปาก เสมหะเหม็น,bad_breath,0,2,
299,cough_chronic_greater_3_weeks,ild,สูบบุหรี่,smoking,1,2,
300,cough_chronic_greater_3_weeks,ild,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
301,cough_chronic_greater_3_weeks,ild,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,4,
302,cough_chronic_greater_3_weeks,asthma,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
303,cough_chronic_greater_3_weeks,asthma,ไม่_ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,0,3,
304,cough_chronic_greater_3_weeks,asthma,ไม่_ไข้กลางคืน,night_fever,0,3,
305,cough_chronic_greater_3_weeks,asthma,เสียงแหบ,hoarse,1,1,
306,cough_chronic_greater_3_weeks,asthma,อากาศเย็นแล้วไอมากขึ้น,progressive_cough_in_cold_air,1,5,
307,cough_chronic_greater_3_weeks,asthma,ฝนตกแล้วไอมากขึ้น,progressive_cough_during_rain,1,5,
308,cough_chronic_greater_3_weeks,asthma,สูบบุหรี่,smoking,1,2,
309,cough_chronic_greater_3_weeks,asthma,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
310,cough_chronic_greater_3_weeks,asthma,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,3,
311,cough_chronic_greater_3_weeks,copd,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
312,cough_chronic_greater_3_weeks,copd,น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,1,2,
313,cough_chronic_greater_3_weeks,copd,เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,1,5,
314,cough_chronic_greater_3_weeks,copd,ไอแห้ง,dry_cough,1,2,
315,cough_chronic_greater_3_weeks,copd,อ่อนเพลีย,fatigue,1,4,
316,cough_chronic_greater_3_weeks,copd,อากาศเย็นแล้วไอมากขึ้น,progressive_cough_in_cold_air,1,5,
317,cough_chronic_greater_3_weeks,copd,ฝนตกแล้วไอมากขึ้น,progressive_cough_during_rain,1,5,
318,cough_chronic_greater_3_weeks,copd,สูบบุหรี่,smoking,1,5,
319,cough_chronic_greater_3_weeks,copd,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
320,cough_chronic_greater_3_weeks,copd,ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,1,5,
321,cough_chronic_greater_3_weeks,sinusitis,ไม่_ไอเป็นเลือด,hemoptysis,0,3,
322,rash,atopic_dermatitis,ไม่_ผื่นสีม่วง,purple_rash,0,2,
323,cough_chronic_greater_3_weeks,sinusitis,ไม่_น้ำหนักลดโดยไม่ตั้งใจ,unintentional_weight_loss,0,3,
324,cough_chronic_greater_3_weeks,sinusitis,ไม่_เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,0,2,
325,cough_chronic_greater_3_weeks,sinusitis,เสมหะ,sputum,1,5,
326,cough_chronic_greater_3_weeks,sinusitis,ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,1,1,
327,cough_chronic_greater_3_weeks,sinusitis,ไม่_ไข้กลางคืน,night_fever,0,2,
328,cough_chronic_greater_3_weeks,sinusitis,ปวดบริเวณใบหน้า,pain_at_face,1,5,
329,cough_chronic_greater_3_weeks,sinusitis,เสียงแหบ,hoarse,1,4,
330,cough_chronic_greater_3_weeks,sinusitis,มีกลิ่นปาก เสมหะเหม็น,bad_breath,1,5,
331,cough_chronic_greater_3_weeks,sinusitis,น้ำมูกไหล,runny_nose,1,4,
332,cough_chronic_greater_3_weeks,sinusitis,"ไม่_กินยาลดความดันโลหิตกลุ่มACEI เช่น Enalapril, Captopril, ฯลฯ",acei_intake,0,5,
333,cough_chronic_greater_3_weeks,sinusitis,ไม่_ออกแรงแล้วเหนื่อยมากขึ้น(DOE),dyspnea_on_exertion,0,3,
334,cough_chronic_greater_3_weeks,pneumonia,ไอเป็นเลือด,hemoptysis,1,1,alarm
335,cough_chronic_greater_3_weeks,pneumonia,เหนื่อยมากขึ้นเรื่อยๆ,progressive_dyspnea,1,4,alarm
336,cough_chronic_greater_3_weeks,pneumonia,เบาหวาน,diabetes,1,4,alarm
337,cough_chronic_greater_3_weeks,pneumonia,HIV,hiv,1,4,alarm
338,cough_chronic_greater_3_weeks,pneumonia,สเตียรอยด์,steroids,1,3,alarm
339,cough_chronic_greater_3_weeks,pneumonia,ยากดภูมิคุ้มกัน,immunosuppressive_drugs,1,3,alarm
340,cough_chronic_greater_3_weeks,pneumonia,เสมหะ,sputum,1,2,
341,cough_chronic_greater_3_weeks,pneumonia,ไข้มากกว่า 3 สัปดาห์,more_than_3_weeks_of_fever,1,3,
342,cough_chronic_greater_3_weeks,pneumonia,ไม่_ปวดบริเวณใบหน้า,pain_at_face,0,3,
